Report_ID,Ward_Number,Area_Location,Issue_Type,Severity,Submission_Date,Month_Year
ISSUE_00140,12.0,Ganapathy,Street Light Issue,Medium,2023-12-01,2023-12
ISSUE_00141,18.0,Gandhipuram,Pothole,Unknown,2023-02-06,2023-02
ISSUE_00142,12.0,Ganapathy,Drainage Leakage,Medium,2025-02-27,2025-02
ISSUE_00143,12.0,Ukkadam,Street Light Issue,Low,2023-12-31,2023-12
ISSUE_00144,19.0,Podanur,Pothole,Low,2023-10-01,2023-10
ISSUE_00145,14.0,Unknown,Unknown,Low,2023-01-12,2023-01
ISSUE_00146,12.0,Unknown,Drainage Leakage,Unknown,2023-03-06,2023-03
ISSUE_00147,4.0,RS Puram,Drainage Leakage,Unknown,2024-09-27,2024-09
ISSUE_00148,12.0,Ukkadam,Garbage Dump,High,2024-03-12,2024-03
ISSUE_00149,7.0,RS Puram,Water Pipe Burst,High,2023-07-06,2023-07
ISSUE_00150,12.0,RS Puram,Unknown,High,2024-02-09,2024-02
ISSUE_00151,4.0,Ganapathy,Unknown,Unknown,2023-07-10,2023-07
ISSUE_00152,12.0,Unknown,Unknown,High,2024-11-09,2024-11
ISSUE_00153,12.0,RS Puram,Drainage Leakage,Low,2024-01-03,2024-01
ISSUE_00154,8.0,Ganapathy,Unknown,High,2023-03-15,2023-03
ISSUE_00155,7.0,Unknown,Water Pipe Burst,Unknown,2024-08-02,2024-08
ISSUE_00156,12.0,Unknown,Pothole,High,2023-07-15,2023-07
ISSUE_00157,14.0,Unknown,Water Pipe Burst,Unknown,2023-11-26,2023-11
ISSUE_00158,2.0,Unknown,Street Light Issue,Low,2023-10-19,2023-10
ISSUE_00159,12.0,Koundampalayam,Pothole,Low,2024-08-10,2024-08
ISSUE_00160,2.0,Podanur,Pothole,Unknown,2024-02-25,2024-02
ISSUE_00161,12.0,Ganapathy,Drainage Leakage,Medium,2024-03-24,2024-03
ISSUE_00162,19.0,Unknown,Street Light Issue,Unknown,2024-12-26,2024-12
ISSUE_00163,1.0,Podanur,Street Light Issue,Unknown,2023-05-12,2023-05
ISSUE_00164,1.0,Peelamedu,Unknown,Unknown,2023-08-07,2023-08
ISSUE_00165,14.0,Ganapathy,Drainage Leakage,Unknown,2023-11-25,2023-11
ISSUE_00166,10.0,Ukkadam,Street Light Issue,Medium,2023-04-07,2023-04
ISSUE_00167,16.0,Podanur,Unknown,Unknown,2023-07-24,2023-07
ISSUE_00168,12.0,RS Puram,Garbage Dump,Medium,2023-05-30,2023-05
ISSUE_00169,14.0,Ukkadam,Garbage Dump,Medium,2023-06-08,2023-06
ISSUE_00170,13.0,Unknown,Drainage Leakage,Unknown,2024-04-23,2024-04
ISSUE_00171,12.0,Ukkadam,Unknown,Medium,2024-01-04,2024-01
ISSUE_00172,12.0,Podanur,Street Light Issue,Unknown,2023-05-30,2023-05
ISSUE_00173,1.0,RS Puram,Water Pipe Burst,Unknown,2025-03-03,2025-03
ISSUE_00174,14.0,Gandhipuram,Drainage Leakage,Medium,2023-08-09,2023-08
ISSUE_00175,17.0,Koundampalayam,Drainage Leakage,Unknown,2024-06-14,2024-06
ISSUE_00176,12.0,Unknown,Drainage Leakage,High,2025-03-26,2025-03
ISSUE_00177,19.0,Podanur,Unknown,Low,2024-06-13,2024-06
ISSUE_00178,12.0,Gandhipuram,Unknown,High,2025-02-08,2025-02
ISSUE_00179,12.0,Ukkadam,Garbage Dump,Low,2024-04-25,2024-04
ISSUE_00180,14.0,RS Puram,Street Light Issue,Low,2023-04-25,2023-04
ISSUE_00181,12.0,Peelamedu,Unknown,Unknown,2025-07-01,2025-07
ISSUE_00182,12.0,Koundampalayam,Pothole,Unknown,2024-01-28,2024-01
ISSUE_00183,12.0,Unknown,Unknown,Unknown,2023-09-12,2023-09
ISSUE_00184,12.0,Peelamedu,Water Pipe Burst,Low,2023-10-01,2023-10
ISSUE_00185,17.0,Ganapathy,Street Light Issue,High,2024-01-16,2024-01
ISSUE_00186,12.0,Unknown,Street Light Issue,Unknown,2023-06-19,2023-06
ISSUE_00187,12.0,Podanur,Street Light Issue,High,2025-03-04,2025-03
ISSUE_00188,12.0,Koundampalayam,Garbage Dump,High,2023-07-18,2023-07
ISSUE_00189,12.0,Unknown,Pothole,Medium,2023-10-03,2023-10
ISSUE_00190,1.0,Koundampalayam,Pothole,Low,2025-04-16,2025-04
ISSUE_00191,12.0,RS Puram,Unknown,Medium,2023-11-13,2023-11
ISSUE_00192,8.0,Koundampalayam,Water Pipe Burst,Unknown,2024-05-19,2024-05
ISSUE_00193,12.0,Koundampalayam,Water Pipe Burst,Medium,2024-09-14,2024-09
ISSUE_00194,12.0,Saibaba Colony,Drainage Leakage,High,2025-07-04,2025-07
ISSUE_00195,1.0,Koundampalayam,Street Light Issue,Medium,2023-11-10,2023-11
ISSUE_00196,15.0,Koundampalayam,Unknown,Low,2024-07-23,2024-07
ISSUE_00197,6.0,Gandhipuram,Street Light Issue,High,2025-01-10,2025-01
ISSUE_00198,12.0,Saibaba Colony,Water Pipe Burst,Unknown,2023-10-25,2023-10
ISSUE_00199,12.0,Unknown,Water Pipe Burst,Medium,2024-01-23,2024-01
ISSUE_00200,12.0,RS Puram,Unknown,Medium,2024-04-23,2024-04
ISSUE_00201,12.0,Podanur,Unknown,Unknown,2023-11-01,2023-11
ISSUE_00202,12.0,Ganapathy,Unknown,Unknown,2024-11-10,2024-11
ISSUE_00203,12.0,Gandhipuram,Unknown,Unknown,2023-09-03,2023-09
ISSUE_00204,12.0,Ganapathy,Unknown,Unknown,2023-01-18,2023-01
ISSUE_00205,8.0,Podanur,Street Light Issue,Unknown,2023-06-26,2023-06
ISSUE_00206,12.0,Koundampalayam,Unknown,Medium,2023-04-18,2023-04
ISSUE_00207,12.0,Unknown,Pothole,Unknown,2025-01-15,2025-01
ISSUE_00208,12.0,Peelamedu,Water Pipe Burst,High,2023-10-01,2023-10
ISSUE_00209,2.0,Podanur,Street Light Issue,Unknown,2024-09-04,2024-09
ISSUE_00210,10.0,Ganapathy,Unknown,Low,2025-01-02,2025-01
ISSUE_00211,12.0,Ganapathy,Unknown,Unknown,2024-06-12,2024-06
ISSUE_00212,12.0,Peelamedu,Unknown,High,2024-03-12,2024-03
ISSUE_00213,18.0,Ganapathy,Street Light Issue,Unknown,2023-11-18,2023-11
ISSUE_00214,12.0,Saibaba Colony,Street Light Issue,High,2025-01-22,2025-01
ISSUE_00215,8.0,Unknown,Drainage Leakage,Unknown,2025-04-23,2025-04
ISSUE_00216,4.0,Saibaba Colony,Pothole,Low,2024-03-23,2024-03
ISSUE_00217,12.0,Ganapathy,Garbage Dump,Unknown,2024-12-12,2024-12
ISSUE_00218,12.0,Peelamedu,Unknown,Low,2024-08-19,2024-08
ISSUE_00219,12.0,RS Puram,Drainage Leakage,Unknown,2023-12-01,2023-12
ISSUE_00220,16.0,Peelamedu,Street Light Issue,Unknown,2023-06-27,2023-06
ISSUE_00221,12.0,Ganapathy,Unknown,Unknown,2025-02-15,2025-02
ISSUE_00222,5.0,Peelamedu,Garbage Dump,Unknown,2024-05-02,2024-05
ISSUE_00223,12.0,RS Puram,Water Pipe Burst,Unknown,2024-04-01,2024-04
ISSUE_00224,16.0,Gandhipuram,Street Light Issue,Medium,2023-03-15,2023-03
ISSUE_00225,9.0,Ukkadam,Pothole,Unknown,2024-09-20,2024-09
ISSUE_00226,12.0,Saibaba Colony,Drainage Leakage,Unknown,2023-12-08,2023-12
ISSUE_00227,12.0,Ukkadam,Pothole,Unknown,2023-07-17,2023-07
ISSUE_00228,12.0,Podanur,Garbage Dump,Unknown,2025-01-28,2025-01
ISSUE_00229,20.0,Peelamedu,Street Light Issue,High,2023-04-22,2023-04
ISSUE_00230,12.0,Saibaba Colony,Pothole,Low,2023-01-05,2023-01
ISSUE_00231,15.0,Gandhipuram,Pothole,Medium,2023-01-26,2023-01
ISSUE_00232,12.0,Podanur,Pothole,Unknown,2025-01-02,2025-01
ISSUE_00233,3.0,Gandhipuram,Garbage Dump,Medium,2024-11-14,2024-11
ISSUE_00234,12.0,Peelamedu,Street Light Issue,High,2023-02-21,2023-02
ISSUE_00235,7.0,Podanur,Street Light Issue,Medium,2023-07-16,2023-07
ISSUE_00236,12.0,Podanur,Street Light Issue,Medium,2024-11-02,2024-11
ISSUE_00237,12.0,Gandhipuram,Drainage Leakage,Medium,2023-12-28,2023-12
ISSUE_00238,15.0,Koundampalayam,Drainage Leakage,Medium,2023-08-15,2023-08
ISSUE_00239,13.0,Saibaba Colony,Street Light Issue,Medium,2024-09-09,2024-09
ISSUE_00240,12.0,Peelamedu,Drainage Leakage,Unknown,2023-12-05,2023-12
ISSUE_00241,3.0,Saibaba Colony,Drainage Leakage,High,2023-04-09,2023-04
ISSUE_00242,12.0,Unknown,Garbage Dump,High,2023-12-24,2023-12
ISSUE_00243,12.0,Ukkadam,Water Pipe Burst,Unknown,2024-01-10,2024-01
ISSUE_00244,14.0,Ukkadam,Pothole,Unknown,2025-05-25,2025-05
ISSUE_00245,2.0,Unknown,Drainage Leakage,Medium,2023-01-06,2023-01
ISSUE_00246,12.0,Ukkadam,Street Light Issue,Low,2023-09-27,2023-09
ISSUE_00247,12.0,Koundampalayam,Garbage Dump,Unknown,2023-02-19,2023-02
ISSUE_00248,12.0,Unknown,Garbage Dump,Medium,2025-03-04,2025-03
ISSUE_00249,7.0,Podanur,Garbage Dump,Low,2024-01-09,2024-01
ISSUE_00250,12.0,Gandhipuram,Pothole,Medium,2025-02-13,2025-02
ISSUE_00251,12.0,Ganapathy,Water Pipe Burst,Unknown,2024-04-15,2024-04
ISSUE_00252,12.0,Unknown,Garbage Dump,Unknown,2023-02-17,2023-02
ISSUE_00253,12.0,Saibaba Colony,Unknown,Unknown,2024-10-14,2024-10
ISSUE_00254,8.0,Ganapathy,Water Pipe Burst,Medium,2024-10-16,2024-10
ISSUE_00255,11.0,Ganapathy,Water Pipe Burst,Unknown,2024-02-20,2024-02
ISSUE_00256,12.0,Unknown,Garbage Dump,High,2024-06-22,2024-06
ISSUE_00257,10.0,Peelamedu,Garbage Dump,Unknown,2025-01-11,2025-01
ISSUE_00258,12.0,Ukkadam,Unknown,Medium,2023-04-13,2023-04
ISSUE_00259,12.0,Ukkadam,Unknown,Unknown,2023-11-20,2023-11
ISSUE_00260,12.0,Unknown,Garbage Dump,Medium,2024-07-18,2024-07
ISSUE_00261,7.0,Unknown,Pothole,Medium,2023-01-04,2023-01
ISSUE_00262,13.0,Koundampalayam,Drainage Leakage,Medium,2023-05-21,2023-05
ISSUE_00263,12.0,Unknown,Water Pipe Burst,Medium,2024-09-15,2024-09
ISSUE_00264,12.0,Gandhipuram,Street Light Issue,Unknown,2025-01-15,2025-01
ISSUE_00265,14.0,Unknown,Unknown,Low,2023-06-28,2023-06
ISSUE_00266,12.0,Gandhipuram,Unknown,Unknown,2024-03-20,2024-03
ISSUE_00267,12.0,RS Puram,Water Pipe Burst,Low,2023-10-07,2023-10
ISSUE_00268,7.0,Peelamedu,Water Pipe Burst,Medium,2023-03-06,2023-03
ISSUE_00269,12.0,Gandhipuram,Drainage Leakage,Unknown,2023-11-30,2023-11
ISSUE_00270,6.0,Peelamedu,Street Light Issue,High,2024-08-03,2024-08
ISSUE_00271,3.0,Peelamedu,Street Light Issue,Medium,2025-04-17,2025-04
ISSUE_00272,15.0,Unknown,Pothole,Low,2024-07-02,2024-07
ISSUE_00273,8.0,RS Puram,Garbage Dump,High,2024-09-13,2024-09
ISSUE_00274,9.0,Koundampalayam,Water Pipe Burst,Unknown,2024-04-13,2024-04
ISSUE_00275,19.0,Unknown,Pothole,Unknown,2025-01-13,2025-01
ISSUE_00276,5.0,Koundampalayam,Unknown,Unknown,2024-09-23,2024-09
ISSUE_00277,12.0,Saibaba Colony,Unknown,Unknown,2025-04-03,2025-04
ISSUE_00278,12.0,Peelamedu,Unknown,Medium,2024-11-21,2024-11
ISSUE_00279,12.0,Peelamedu,Pothole,Unknown,2023-06-12,2023-06
ISSUE_00280,12.0,Saibaba Colony,Garbage Dump,Medium,2023-07-11,2023-07
ISSUE_00281,12.0,Unknown,Unknown,Unknown,2025-04-16,2025-04
ISSUE_00282,18.0,RS Puram,Water Pipe Burst,Unknown,2024-11-27,2024-11
ISSUE_00283,18.0,Unknown,Pothole,Medium,2023-01-15,2023-01
ISSUE_00284,12.0,Podanur,Garbage Dump,Unknown,2023-03-02,2023-03
ISSUE_00285,12.0,Gandhipuram,Unknown,High,2024-05-10,2024-05
ISSUE_00286,12.0,Ukkadam,Pothole,Unknown,2024-10-10,2024-10
ISSUE_00287,12.0,Podanur,Street Light Issue,Low,2025-07-16,2025-07
ISSUE_00288,12.0,Podanur,Water Pipe Burst,Unknown,2023-01-20,2023-01
ISSUE_00289,18.0,Podanur,Unknown,High,2024-09-05,2024-09
ISSUE_00290,12.0,Peelamedu,Unknown,High,2023-10-18,2023-10
ISSUE_00291,18.0,Unknown,Pothole,Low,2025-05-27,2025-05
ISSUE_00292,12.0,Unknown,Pothole,Medium,2025-02-08,2025-02
ISSUE_00293,12.0,RS Puram,Drainage Leakage,Medium,2023-01-04,2023-01
ISSUE_00294,3.0,Saibaba Colony,Water Pipe Burst,Unknown,2023-01-08,2023-01
ISSUE_00295,12.0,Ukkadam,Water Pipe Burst,Medium,2025-04-02,2025-04
ISSUE_00296,12.0,Ukkadam,Drainage Leakage,Unknown,2024-05-04,2024-05
ISSUE_00297,12.0,Gandhipuram,Garbage Dump,High,2024-03-22,2024-03
ISSUE_00298,20.0,Saibaba Colony,Unknown,Unknown,2023-06-30,2023-06
ISSUE_00299,12.0,Koundampalayam,Unknown,Medium,2024-10-26,2024-10
ISSUE_00300,12.0,Ukkadam,Garbage Dump,Low,2023-01-30,2023-01
ISSUE_00301,12.0,Ukkadam,Unknown,Unknown,2025-01-30,2025-01
ISSUE_00302,8.0,Koundampalayam,Unknown,Unknown,2024-03-27,2024-03
ISSUE_00303,6.0,RS Puram,Water Pipe Burst,Unknown,2024-04-12,2024-04
ISSUE_00304,15.0,Gandhipuram,Water Pipe Burst,Unknown,2024-05-21,2024-05
ISSUE_00305,17.0,Saibaba Colony,Garbage Dump,Medium,2024-04-02,2024-04
ISSUE_00306,12.0,Peelamedu,Unknown,Unknown,2023-04-09,2023-04
ISSUE_00307,2.0,Unknown,Pothole,Low,2023-11-03,2023-11
ISSUE_00308,12.0,Ukkadam,Unknown,High,2025-05-10,2025-05
ISSUE_00309,12.0,Koundampalayam,Unknown,Unknown,2024-09-27,2024-09
ISSUE_00310,16.0,Ukkadam,Unknown,Unknown,2023-05-25,2023-05
ISSUE_00311,4.0,Podanur,Drainage Leakage,Medium,2024-09-05,2024-09
ISSUE_00312,12.0,Ganapathy,Water Pipe Burst,Unknown,2025-02-19,2025-02
ISSUE_00313,12.0,Ukkadam,Pothole,Medium,2023-06-04,2023-06
ISSUE_00314,1.0,Peelamedu,Garbage Dump,Unknown,2024-08-09,2024-08
ISSUE_00315,15.0,Gandhipuram,Pothole,Unknown,2024-11-21,2024-11
ISSUE_00316,12.0,RS Puram,Drainage Leakage,Unknown,2023-10-12,2023-10
ISSUE_00317,12.0,Ukkadam,Drainage Leakage,Low,2024-05-26,2024-05
ISSUE_00318,12.0,Gandhipuram,Pothole,Low,2023-12-10,2023-12
ISSUE_00319,18.0,Unknown,Unknown,Low,2024-03-13,2024-03
ISSUE_00320,12.0,RS Puram,Unknown,Low,2024-06-03,2024-06
ISSUE_00321,12.0,Ukkadam,Unknown,Medium,2025-02-24,2025-02
ISSUE_00322,12.0,Gandhipuram,Unknown,High,2023-11-15,2023-11
ISSUE_00323,12.0,Podanur,Unknown,Unknown,2025-03-01,2025-03
ISSUE_00324,12.0,RS Puram,Drainage Leakage,Low,2024-10-24,2024-10
